City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nampula,MZ,-15.1165,39.2666,69.69,96,100,3.4,light rain
1,Padang,ID,-0.9492,100.3543,73.45,84,100,2.91,overcast clouds
2,Busselton,AU,-33.65,115.3333,66.47,40,0,10.2,clear sky
3,Port Hardy,CA,50.6996,-127.4199,42.98,93,100,10.36,light rain
4,Rikitea,PF,-23.1203,-134.9692,78.33,72,60,10.74,broken clouds
5,Hovd,MN,48.0056,91.6419,-5.53,81,6,2.21,clear sky
6,Karasjok,NO,69.4719,25.5112,1.4,99,100,6.4,overcast clouds
7,Bilecik,TR,40.0,30.1667,30.88,53,34,2.86,scattered clouds
8,Albany,US,42.6001,-73.9662,25.52,73,6,3.33,clear sky
9,Victoria,HK,22.2855,114.1577,63.95,77,90,8.01,overcast clouds
10,Jalu,LY,29.0331,21.5482,54.09,63,0,2.55,clear sky
11,Daman,IN,20.4167,72.85,68.09,56,5,8.23,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,28.77,scattered clouds
13,Fortuna,US,40.5982,-124.1573,52.14,86,61,1.01,broken clouds
14,Ossora,RU,59.2353,163.0719,12.97,67,10,7.9,clear sky
15,Mokhsogollokh,RU,61.4681,128.9203,-34.89,100,22,1.95,few clouds
16,Atuona,PF,-9.8,-139.0333,77.79,75,100,9.78,overcast clouds
17,Wattegama,LK,6.7989,81.4808,71.62,95,2,2.8,clear sky
18,Jamestown,US,42.097,-79.2353,25.02,92,100,11.5,overcast clouds
19,Guerrero Negro,MX,27.9769,-114.0611,64.8,56,36,9.89,scattered clouds
20,Pevek,RU,69.7008,170.3133,-7.85,99,100,3.53,overcast clouds
21,Vaini,TO,-21.2,-175.2,82.56,78,75,3.44,moderate rain
22,Shingu,JP,33.7333,135.9833,51.21,50,2,1.28,clear sky
23,Samarai,PG,-10.6167,150.6667,78.91,89,100,10.22,overcast clouds
24,Roma,US,43.2128,-75.4557,24.87,86,100,0.0,overcast clouds
25,Georgetown,MY,5.4112,100.3354,78.73,89,20,9.22,few clouds
26,Ponta Do Sol,PT,32.6667,-17.1,66.13,28,0,7.52,clear sky
27,Tabas,IR,33.5959,56.9244,46.63,54,77,2.89,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,71.38,76,0,4.61,clear sky
29,Lubango,AO,-14.9172,13.4925,60.84,68,12,2.59,few clouds
30,High Level,CA,58.5169,-117.136,-2.09,92,100,2.3,light snow
31,Atar,MR,20.5169,-13.0499,68.07,23,100,2.35,overcast clouds
32,Hobart,AU,-42.8794,147.3294,76.86,57,75,29.93,broken clouds
33,Mahebourg,MU,-20.4081,57.7,77.29,73,40,10.36,scattered clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,6.91,few clouds
35,Kapaa,US,22.0752,-159.319,82.72,66,0,4.61,clear sky
36,Quatre Cocos,MU,-20.2078,57.7625,77.11,75,26,12.84,scattered clouds
37,Yicheng,CN,31.3705,119.8703,41.29,59,97,5.73,overcast clouds
38,Faanui,PF,-16.4833,-151.75,81.34,73,79,12.66,broken clouds
39,Mataura,NZ,-46.1927,168.8643,83.16,37,0,0.94,clear sky
40,Hilo,US,19.7297,-155.09,80.33,71,0,9.22,clear sky
41,Hermanus,ZA,-34.4187,19.2345,60.8,83,92,4.83,overcast clouds
42,Port Alfred,ZA,-33.5906,26.891,69.19,91,91,5.99,overcast clouds
43,Ribeira Grande,PT,38.5167,-28.7,62.78,96,95,15.01,moderate rain
